species,count
"s__Streptomyces sp002940705",2
"s__Streptomyces sp002941025",1
"s__Streptomyces sp002982015",1
"s__Streptomyces sp003024195",1
"s__Streptomyces sp003032475",1
"s__Streptomyces sp003046555",3
"s__Streptomyces sp003116725",3
"s__Streptomyces sp003143855",1
"s__Streptomyces sp003143935",1
"s__Streptomyces sp003148825",3
"s__Streptomyces sp003173275",6
"s__Streptomyces sp003248315",1
"s__Streptomyces sp003248355",2
"s__Streptomyces sp003259365",1
"s__Streptomyces sp003259585",1
"s__Streptomyces sp003261055",2
"s__Streptomyces sp003287935",2
"s__Streptomyces sp003311645",1
"s__Streptomyces sp003323735",1
"s__Streptomyces sp003324565",1
"s__Streptomyces sp003330845",1
"s__Streptomyces sp003344965",1
"s__Streptomyces sp003346515",1
"s__Streptomyces sp003369795",1
"s__Streptomyces sp003384795",1
"s__Streptomyces sp003386135",1
"s__Streptomyces sp003389455",1
"s__Streptomyces sp003403055",1
"s__Streptomyces sp003429565",1
"s__Streptomyces sp003519485",1
"s__Streptomyces sp003574445",1
"s__Streptomyces sp003626575",2
"s__Streptomyces sp003634225",3
"s__Streptomyces sp003664315",1
"s__Streptomyces sp003665095",1
"s__Streptomyces sp003671715",1
"s__Streptomyces sp003675325",1
"s__Streptomyces sp003725745",1
"s__Streptomyces sp003751445",1
"s__Streptomyces sp003752205",1
"s__Streptomyces sp003752275",2
"s__Streptomyces sp003814525",1
"s__Streptomyces sp003814875",1
"s__Streptomyces sp003814935",1
"s__Streptomyces sp003846175",1
"s__Streptomyces sp003846185",1
"s__Streptomyces sp003851625",1
"s__Streptomyces sp003945545",1
"s__Streptomyces sp003947455",2
"s__Streptomyces sp003949505",1
"s__Streptomyces sp003949795",1
"s__Streptomyces sp003949805",1
"s__Streptomyces sp003963535",1
"s__Streptomyces sp004005495",1
"s__Streptomyces sp004010275",1
"s__Streptomyces sp004023625",1
"s__Streptomyces sp004117935",1
"s__Streptomyces sp004124325",1
"s__Streptomyces sp004151105",1
"s__Streptomyces sp004187715",1
"s__Streptomyces sp004193175",1
"s__Streptomyces sp004217285",1
"s__Streptomyces sp004337435",1
"s__Streptomyces sp004342105",1
"s__Streptomyces sp004343515",1
"s__Streptomyces sp004346005",1
"s__Streptomyces sp004346385",1
"s__Streptomyces sp004348315",1
"s__Streptomyces sp004353505",4
"s__Streptomyces sp004363835",1
"s__Streptomyces sp004364215",1
"s__Streptomyces sp004364245",1
"s__Streptomyces sp004368645",1
"s__Streptomyces sp004684775",1
"s__Streptomyces sp004795015",1
"s__Streptomyces sp004795035",1
"s__Streptomyces sp004795055",1
"s__Streptomyces sp004795105",1
"s__Streptomyces sp005048155",1
"s__Streptomyces sp005768555",3
"s__Streptomyces sp005795905",1
"s__Streptomyces sp006088715",1
"s__Streptomyces sp006334995",3
"s__Streptomyces sp006540305",1
"s__Streptomyces sp006715395",1
"s__Streptomyces sp006715635",1
"s__Streptomyces sp007050945",1
"s__Streptomyces sp007096885",1
"s__Streptomyces sp007097205",1
"s__Streptomyces sp007176755",1
"s__Streptomyces sp007280575",1
"s__Streptomyces sp900091315",1
"s__Streptomyces sp900091725",1
"s__Streptomyces sp900091845",1
"s__Streptomyces sp900091955",1
"s__Streptomyces sp900103585",1
"s__Streptomyces sp900105245",5
"s__Streptomyces sp900105415",2
"s__Streptomyces sp900105515",7
"s__Streptomyces sp900105755",1
"s__Streptomyces sp900110755",1
"s__Streptomyces sp900114955",2
"s__Streptomyces sp900116325",4
"s__Streptomyces sp900129855",2
"s__Streptomyces sp900187385",9
"s__Streptomyces sp900206255",3
"s__Streptomyces sp900215615",1
"s__Streptomyces sp900290235",2
